Word,Synonyms
ai,"Army Intelligence, AI, artificial intelligence, three-toed sloth, ai, Bradypus tridactylus, artificial insemination"
said,"state, say, tell, allege, aver, suppose, read, order, enjoin, pronounce, articulate, enounce, sound out, enunciate, aforesaid, aforementioned, said"
qualify,"qualify, measure up, restrict, dispose, stipulate, condition, specify, characterize, characterise, modify"
chill,"chill, iciness, gelidity, frisson, shiver, quiver, shudder, thrill, tingle, shivering, pall, cool, cool down"
til,unavailable
til,
breath,"breath, breather, breathing place, breathing space, breathing spell, breathing time, hint, intimation"
froze,"freeze, stop dead, suspend, freeze out, freeze down, block, immobilize, immobilise"
nose,"nose, olfactory organ, nozzle, intrude, horn in, pry, poke, scent, wind, nuzzle"
little,"little, small, slight, fiddling, footling, lilliputian, niggling, piddling, piffling, petty, picayune, trivial, short, minuscule"
icicle,icicle
today,"today, nowadays, now"
reply,"answer, reply, response, respond"
think,"think, believe, consider, conceive, opine, suppose, imagine, reckon, guess, cogitate, cerebrate, remember, retrieve, recall, call back, call up, recollect, intend, mean"
know,"know, cognize, cognise, experience, live, acknowledge, recognize, recognise, sleep together, roll in the hay, love, make out, make love, sleep with, get laid, have sex, do it, be intimate, have intercourse, have it away, have it off, screw, fuck, jazz, eff, hump, lie with, bed, have a go at it, bang, get it on, bonk"
pa,"dad, dada, daddy, pa, papa, pappa, pop, protactinium, protoactinium, Pa, atomic number 91, pascal, Pennsylvania, Keystone State, PA, public address system, P.A. system, PA system, P.A."
different,"different, unlike, dissimilar"
stories,"narrative, narration, story, tale, floor, level, storey, history, account, chronicle, report, news report, write up, fib, tarradiddle, taradiddle"
lost,"doomed, lost, lose, misplace, mislay, turn a loss, fall back, drop off, fall behind, recede, miss, suffer, confused, disoriented, missed, bemused, deep in thought, preoccupied, baffled, befuddled, bewildered, confounded, mazed, mixed-up, at sea, helpless"
leg,"leg, branch, ramification, peg, wooden leg, pegleg, stage"
cold,"cold, common cold, coldness, low temperature, frigidity, frigidness, stale, dusty, moth-eaten, frigid, cold-blooded, inhuman, insensate"
entertaining,"entertain, think of, toy with, flirt with, think about, harbor, harbour, hold, nurse, entertaining"
mean,"mean, mean value, intend, entail, imply, signify, stand for, think, think of, have in mind, average, hateful, base, meanspirited, beggarly, mingy, miserly, tight, bastardly"
uh,unavailable
uh,
uncle,uncle
calls,"call, phone call, telephone call, Call, cry, outcry, yell, shout, vociferation, claim, birdcall, birdsong, song, margin call, call option, name, telephone, call up, phone, ring, shout out, scream, holler, hollo, squall, send for, visit, call in, address, bid, call off, predict, foretell, prognosticate, forebode, anticipate, promise"
hero,"hero, champion, fighter, paladin, Hero, Heron, Hero of Alexandria, bomber, grinder, hero sandwich, hoagie, hoagy, Cuban sandwich, Italian sandwich, poor boy, sub, submarine, submarine sandwich, torpedo, wedge, zep"
old,"old, older, erstwhile, former, onetime, one-time, quondam, sometime, honest-to-god, honest-to-goodness, sure-enough, Old, previous"
work,"work, piece of work, employment, study, workplace, oeuvre, body of work, do work, act, function, operate, go, run, work on, process, exercise, work out, make, bring, play, wreak, make for, put to work, cultivate, crop, influence, act upon, shape, form, mold, mould, forge, knead, exploit, solve, figure out, puzzle out, lick, ferment, sour, turn"
pretty,"pretty, reasonably, moderately, jolly, somewhat, fairly, middling, passably"
conversation,conversation
fought,"contend, fight, struggle, oppose, fight back, fight down, defend, crusade, press, campaign, push, agitate"
night,"night, nighttime, dark, Nox, Night"
listening,"listening, hearing, listen, hear, take heed, heed, mind"
version,"version, variant, variation, edition, adaptation, translation, interlingual rendition, rendering, interpretation, reading"
real,"real number, real, existent, tangible, actual, genuine, literal, substantial, material, veridical, very, really, rattling"
like,"like, the like, the likes of, ilk, wish, care, similar, same, alike, comparable, corresponding"
farmers,"farmer, husbandman, granger, sodbuster, Farmer, James Leonard Farmer, Fannie Farmer, Fannie Merritt Farmer"
people,"people, citizenry, multitude, masses, mass, hoi polloi, the great unwashed"
everybody,unavailable
everybody,
right,"right, right field, rightfield, right wing, right hand, rightfulness, compensate, redress, correct, rectify, proper, right-hand, good, ripe, veracious, flop, properly, decently, decent, in good order, the right way, right on, mighty, mightily, powerful, justly, correctly, aright"
built,"construct, build, make, build up, work up, progress, establish, ramp up, built, reinforced"
tell,"Tell, William Tell, state, say, tell, narrate, recount, recite, order, enjoin, assure, evidence, distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell apart"
things,"things, thing, matter, affair"
fine,"fine, mulct, amercement, ticket, all right, o.k., ok, okay, hunky-dory, very well, alright, OK, finely, delicately, exquisitely"
